Nombre_Tabla,Nombre_Base
Atraso ,atraso
Puntaje Reporte Califica,score_califica
Comportamiento Principal Accionista en Buró Persona Moral,buro_moral_paccionista
Comportamiento Principal Accionista en Buró Persona Física,buro_fisica_paccionista
