Nombre_Tabla,Nombre_Base
Edad del Principal Accionista,edad_principal_accionista
Antiguedad del Principal Accionista en el domicilio,antiguedad_principal_accionista_domicilio
Antiguedad en el negocio,antiguedad_negocio
Experiencia del Principal Accionista en el giro,experiencia_principal_accionista_giro
Estados Financieros Completos,estados_financieros
Ventas Anuales,ventas_anuales
